epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3090.9,1.51694,0.8026,1.38079,0.9427,0.92317,0.96967,0.63472,1.2444,0.58886,1.22091,0.0011882,0.0011882,0.0011882
43,3143.55,1.5133,0.79249,1.37123,0.93901,0.92428,0.96917,0.63475,1.23448,0.60117,1.21321,0.0011684,0.0011684,0.0011684
44,3210.8,1.50995,0.78986,1.37154,0.9375,0.92178,0.96808,0.63083,1.24526,0.5965,1.23169,0.0011486,0.0011486,0.0011486
45,3261.94,1.51665,0.79391,1.37066,0.94213,0.92029,0.96916,0.63791,1.2314,0.59179,1.21367,0.0011288,0.0011288,0.0011288
46,3311.64,1.50715,0.78706,1.3654,0.94068,0.92283,0.96847,0.63535,1.23727,0.58724,1.22039,0.001109,0.001109,0.001109
47,3360.51,1.51131,0.78906,1.37272,0.94211,0.92227,0.96933,0.63766,1.23383,0.58701,1.21648,0.0010892,0.0010892,0.0010892
48,3468.96,1.50037,0.78152,1.36129,0.94071,0.92539,0.97036,0.64031,1.22481,0.58256,1.21159,0.0010694,0.0010694,0.0010694
49,3523.07,1.51045,0.78443,1.36648,0.94293,0.92492,0.97009,0.6408,1.22513,0.57793,1.21503,0.0010496,0.0010496,0.0010496
50,3571.2,1.50089,0.78146,1.3595,0.94458,0.92258,0.96975,0.63779,1.23519,0.5798,1.21331,0.0010298,0.0010298,0.0010298
51,3753.55,1.49915,0.78103,1.36147,0.94145,0.92726,0.9701,0.64142,1.21906,0.58309,1.21386,0.00101,0.00101,0.00101
52,3821.92,1.50143,0.77388,1.3555,0.94213,0.92426,0.97,0.6414,1.21995,0.57979,1.21419,0.0009902,0.0009902,0.0009902
53,3873.13,1.50121,0.77688,1.36132,0.94393,0.92615,0.97067,0.64031,1.22928,0.57783,1.213,0.0009704,0.0009704,0.0009704
54,4057.92,1.49153,0.76977,1.35839,0.9444,0.92426,0.97012,0.64372,1.2106,0.58773,1.20841,0.0009506,0.0009506,0.0009506
55,4112.39,1.49304,0.77173,1.36186,0.94245,0.92504,0.97033,0.64253,1.21766,0.57633,1.20971,0.0009308,0.0009308,0.0009308
56,4162.28,1.48568,0.7628,1.35457,0.94232,0.92696,0.97099,0.64389,1.21254,0.57727,1.20468,0.000911,0.000911,0.000911
57,4209.66,1.48763,0.76796,1.35372,0.9432,0.92593,0.97131,0.64503,1.20546,0.58405,1.20599,0.0008912,0.0008912,0.0008912
58,4266.98,1.49104,0.76724,1.35737,0.94316,0.92592,0.97032,0.64048,1.22443,0.5709,1.2072,0.0008714,0.0008714,0.0008714
59,4325.33,1.48892,0.76703,1.35586,0.94297,0.92504,0.97069,0.64445,1.20547,0.57802,1.20389,0.0008516,0.0008516,0.0008516
60,4392.07,1.48818,0.76429,1.35051,0.94147,0.92812,0.9709,0.6454,1.20959,0.57026,1.19841,0.0008318,0.0008318,0.0008318
61,4483.85,1.48211,0.76513,1.34848,0.94196,0.92684,0.97095,0.64429,1.21174,0.57487,1.20011,0.000812,0.000812,0.000812
62,4610.83,1.48716,0.76221,1.34619,0.94067,0.92857,0.97055,0.64669,1.20738,0.57207,1.19535,0.0007922,0.0007922,0.0007922
63,4776.15,1.48185,0.75946,1.34389,0.94357,0.92732,0.97157,0.64691,1.20599,0.56308,1.19679,0.0007724,0.0007724,0.0007724
64,4841.75,1.47198,0.75228,1.34122,0.94461,0.9258,0.97152,0.6481,1.19949,0.5707,1.19596,0.0007526,0.0007526,0.0007526
65,4915.69,1.47735,0.75261,1.3446,0.94595,0.92692,0.97184,0.65016,1.1952,0.56668,1.19702,0.0007328,0.0007328,0.0007328
66,5016.21,1.46694,0.74508,1.33148,0.94416,0.92817,0.97207,0.64995,1.1945,0.56818,1.19215,0.000713,0.000713,0.000713
67,5075.82,1.4745,0.7477,1.34107,0.94449,0.92938,0.97215,0.64823,1.20387,0.55855,1.19734,0.0006932,0.0006932,0.0006932
68,5123.38,1.47315,0.75354,1.34216,0.94295,0.92896,0.97226,0.64834,1.20045,0.56549,1.19973,0.0006734,0.0006734,0.0006734
69,5192.24,1.4671,0.74763,1.34118,0.94545,0.92883,0.9722,0.65093,1.19457,0.55872,1.19259,0.0006536,0.0006536,0.0006536
70,5240.98,1.46468,0.74241,1.33422,0.94753,0.92685,0.97235,0.65075,1.19487,0.56182,1.1933,0.0006338,0.0006338,0.0006338
71,5288.72,1.46428,0.74279,1.33796,0.94481,0.92978,0.97258,0.6512,1.19347,0.56002,1.19316,0.000614,0.000614,0.000614
72,5343.66,1.46727,0.74461,1.33399,0.94295,0.93067,0.97238,0.64831,1.20316,0.56072,1.19447,0.0005942,0.0005942,0.0005942
73,5403.43,1.46817,0.74176,1.33581,0.9443,0.92928,0.97188,0.65087,1.18878,0.56152,1.19292,0.0005744,0.0005744,0.0005744
74,5450.99,1.46437,0.74265,1.33601,0.9444,0.92906,0.97243,0.65125,1.19004,0.55833,1.1927,0.0005546,0.0005546,0.0005546
75,5498.58,1.46053,0.73668,1.33423,0.94432,0.92976,0.97211,0.65171,1.18925,0.56317,1.19232,0.0005348,0.0005348,0.0005348
76,5547.81,1.46383,0.7396,1.33329,0.94632,0.92785,0.97261,0.65348,1.18474,0.558,1.19066,0.000515,0.000515,0.000515
77,5606.96,1.45913,0.73525,1.33244,0.94462,0.93077,0.97304,0.65317,1.18628,0.55872,1.19103,0.0004952,0.0004952,0.0004952
78,5659.42,1.46113,0.7378,1.33341,0.94519,0.93062,0.97291,0.65299,1.19325,0.55609,1.19089,0.0004754,0.0004754,0.0004754
79,5707.86,1.46035,0.73251,1.3324,0.94723,0.93031,0.97384,0.65341,1.19013,0.55489,1.18933,0.0004556,0.0004556,0.0004556
80,5805.62,1.4635,0.74002,1.33742,0.94588,0.93089,0.9733,0.65554,1.17951,0.55491,1.18476,0.0004358,0.0004358,0.0004358
81,5857.56,1.45068,0.7288,1.32691,0.94612,0.93003,0.97313,0.65424,1.18293,0.55202,1.18717,0.000416,0.000416,0.000416
82,5924.07,1.46213,0.73693,1.33441,0.94558,0.93047,0.97313,0.65437,1.18327,0.55424,1.18449,0.0003962,0.0003962,0.0003962
83,5975.39,1.44649,0.7285,1.32257,0.94568,0.93078,0.97324,0.65573,1.17676,0.553,1.18661,0.0003764,0.0003764,0.0003764
84,6045.32,1.4539,0.72688,1.32704,0.94516,0.93172,0.97285,0.65439,1.18074,0.55401,1.18552,0.0003566,0.0003566,0.0003566
85,6098.98,1.44508,0.72478,1.32386,0.94531,0.93208,0.97308,0.65567,1.17711,0.5533,1.18609,0.0003368,0.0003368,0.0003368
86,6146.79,1.4489,0.72549,1.32685,0.947,0.9329,0.97405,0.65623,1.17854,0.5498,1.18568,0.000317,0.000317,0.000317
87,6307.84,1.45214,0.7239,1.32485,0.94492,0.93131,0.97323,0.65536,1.1776,0.55197,1.1858,0.0002972,0.0002972,0.0002972
88,6358.96,1.4408,0.721,1.31852,0.94777,0.93099,0.97354,0.65595,1.17843,0.55018,1.18394,0.0002774,0.0002774,0.0002774
89,6412.29,1.45019,0.7271,1.32603,0.9466,0.93119,0.97307,0.6575,1.17392,0.54827,1.1838,0.0002576,0.0002576,0.0002576
90,6460.52,1.44824,0.72143,1.32436,0.94488,0.93307,0.97337,0.65727,1.1733,0.54471,1.1841,0.0002378,0.0002378,0.0002378
91,6529.98,1.44264,0.70941,1.34954,0.94431,0.93212,0.97257,0.65539,1.17911,0.54911,1.18797,0.000218,0.000218,0.000218
92,6573.68,1.43497,0.70104,1.34194,0.9445,0.93248,0.97307,0.65644,1.17664,0.54828,1.18473,0.0001982,0.0001982,0.0001982
93,6617.56,1.43334,0.69738,1.34009,0.94661,0.93144,0.97319,0.65809,1.17045,0.5492,1.18153,0.0001784,0.0001784,0.0001784
94,6661.29,1.43094,0.69526,1.33953,0.94697,0.93202,0.97344,0.65889,1.17307,0.54441,1.18357,0.0001586,0.0001586,0.0001586
95,6705.25,1.42527,0.6903,1.3368,0.94498,0.93242,0.97326,0.65819,1.17232,0.54627,1.18258,0.0001388,0.0001388,0.0001388
96,6748.89,1.42606,0.68976,1.33781,0.94706,0.93323,0.97384,0.65886,1.17147,0.54451,1.18143,0.000119,0.000119,0.000119
97,6792.96,1.42735,0.68944,1.33569,0.94486,0.9334,0.97326,0.65921,1.16814,0.54492,1.18232,9.92e-05,9.92e-05,9.92e-05
98,6850.66,1.42272,0.68636,1.33666,0.9464,0.93361,0.97369,0.66045,1.16583,0.54316,1.18059,7.94e-05,7.94e-05,7.94e-05
99,6894.51,1.42012,0.68715,1.33726,0.94669,0.93264,0.97375,0.65934,1.16973,0.54276,1.18397,5.96e-05,5.96e-05,5.96e-05
100,6938.19,1.41901,0.68691,1.33483,0.94728,0.93242,0.97385,0.65943,1.17011,0.54177,1.18295,3.98e-05,3.98e-05,3.98e-05
